epoch,loss,train_acc_pct,lr,margin,opt_steps,epoch_time_s,top1_pct,top5_pct,eer_pct
0,,,,,,,86.34,91.13,7.47
2,4.347,39.35,,,,5722.9,86.67,91.4,7.04
3,2.3455,57.64,,,,6591.6,87.0,91.89,6.61
4,2.1368,60.82,,,,5321.9,87.6,91.95,6.4
5,2.0166,62.73,,,,5315.1,87.32,92.38,6.41
6,1.914,64.64,,,,5330.9,87.38,92.33,6.5
7,1.839,65.98,,,,5367.0,87.32,92.27,6.71
8,1.7678,66.91,,,,5338.3,87.7,91.95,6.58
9,1.7014,67.94,,,,5339.4,87.38,91.51,6.78
