epoch,loss,train_acc_pct,lr,margin,opt_steps,epoch_time_s,top1_pct,top5_pct,eer_pct
0,,,,,,,84.0,90.48,8.7
1,14.1624,1.91,7.92e-04,0.000,218,4085.0,84.22,89.83,9.06
2,6.6505,12.42,6.32e-04,0.136,218,7454.0,84.66,90.42,8.29
