epoch,loss,train_acc_pct,lr,margin,opt_steps,epoch_time_s,top1_pct,top5_pct,eer_pct
0,,,,,,,87.32,92.38,6.41
1,6.0728,20.85,,,,5662.9,87.6,92.0,6.56
2,3.8015,36.25,,,,5460.7,87.49,92.27,6.5
3,3.5772,38.87,,,,4814.8,87.65,92.17,6.75
4,3.4016,41.13,,,,5146.9,87.76,92.11,6.64
